Employee_ID,Job_Title,Industry,Country,Education_Level,Years_Experience,AI_Replacement_Risk,Future_Demand_Score,Remote_Work_Possibility,Average_Salary_USD,Required_Skills,Automation_Level,Job_Growth_2030,Work_Hours_Per_Week,Company_Size,AI_Tool_Usage,Performance_Score,Upskilling_Needed,Job_Satisfaction,Hiring_Trend_2026
AIJ-100460,Data Engineer,Manufacturing,Pakistan,PhD,20,0.22,0.63,Hybrid,96198,"Kubernetes, Cybersecurity, SQL, Machine Learning",Low,17,32,Medium,Moderate,3.57,Yes,1.67,Stable
AIJ-100461,IoT Specialist,Media,Singapore,High School,5,0.93,0.35,No,134200,"Project Management, SQL, Docker, TensorFlow",High,14,47,Medium,Moderate,3.82,Yes,1.74,Declining
AIJ-100462,Digital Marketer,Retail,India,High School,5,0.69,0.61,Yes,109537,"Python, Docker, Azure, Communication",Low,24,37,Medium,Low,3.92,No,4.71,Stable
AIJ-100463,Financial Analyst,Manufacturing,Canada,Master,23,0.05,0.47,Yes,188638,"Deep Learning, Prompt Engineering, Cloud Computing",Medium,29,39,Medium,Low,3.88,Yes,4.3,Declining
AIJ-100464,Cloud Architect,Energy,India,Bachelor,14,0.93,0.81,Yes,182898,"Data Visualization, Communication, Python, Docker, Leadership",Medium,7,36,Enterprise,High,4.42,No,1.62,Declining
AIJ-100465,Business Analyst,Government,UAE,Bachelor,20,0.46,0.84,No,76166,"Excel, Cybersecurity, AWS, SQL, Deep Learning, Machine Learning",Low,9,35,Startup,Moderate,4.06,Yes,1.28,Declining
AIJ-100466,Teacher,Healthcare,Australia,PhD,0,0.17,0.79,Yes,33090,"Deep Learning, Azure, TensorFlow, SQL, Excel, Communication",Low,38,56,Enterprise,Low,2.4,Yes,2.07,Growing
AIJ-100467,IoT Specialist,Government,UAE,Bachelor,9,0.82,0.27,No,66498,"Python, Cloud Computing, Leadership",Medium,-1,37,Startup,High,4.08,Yes,1.08,Declining
AIJ-100468,Data Scientist,Education,USA,Bachelor,13,0.51,0.86,No,67181,"Kubernetes, Project Management, Cloud Computing",Low,12,50,Medium,Low,4.77,No,3.75,Growing
AIJ-100469,Financial Analyst,Healthcare,Japan,Master,3,0.25,0.96,No,103875,"AWS, Data Visualization, Cloud Computing",Low,-8,49,Startup,Low,3.29,No,3.4,Growing
AIJ-100470,Cybersecurity Analyst,Technology,UK,Bachelor,10,0.87,0.72,Yes,99573,"Cybersecurity, Project Management, Docker, Data Visualization, SQL, Kubernetes",Medium,18,53,Medium,Low,2.34,No,4.84,Stable
AIJ-100471,DevOps Engineer,Transportation,Australia,Master,4,0.74,0.48,Hybrid,159553,"Machine Learning, Leadership, Cybersecurity, Kubernetes",Low,14,43,Enterprise,Moderate,3.62,No,3.13,Declining
AIJ-100472,Financial Analyst,Media,UAE,Bachelor,3,0.38,0.36,Yes,34496,"Machine Learning, PyTorch, Deep Learning, Excel, SQL, Cloud Computing",Medium,13,57,Startup,Moderate,3.38,No,1.97,Declining
AIJ-100473,Financial Analyst,Technology,Canada,High School,15,0.39,0.22,Hybrid,141334,"Cybersecurity, Cloud Computing, Kubernetes",Low,-9,34,Medium,Low,2.24,Yes,1.05,Stable
AIJ-100474,DevOps Engineer,Manufacturing,UAE,High School,9,0.52,0.95,Yes,153256,"Data Visualization, AWS, Cybersecurity, Excel",Low,-7,58,Enterprise,Low,3.81,Yes,3.01,Declining
AIJ-100475,UX Designer,Healthcare,Singapore,PhD,4,0.33,0.38,Hybrid,71104,"PyTorch, Azure, Communication, Docker, Project Management, AWS",Low,15,49,Startup,Low,3.18,Yes,4.27,Stable
AIJ-100476,Cloud Architect,Healthcare,Canada,Master,19,0.38,0.54,No,100757,"Leadership, TensorFlow, Docker, Machine Learning, Python, AWS",Low,5,39,Startup,High,2.32,Yes,3.39,Stable
AIJ-100477,AI Engineer,Government,UAE,High School,1,0.29,0.97,No,178058,"Kubernetes, Prompt Engineering, SQL, Cloud Computing",Low,9,30,Medium,Moderate,4.88,Yes,2.26,Stable
AIJ-100478,Data Scientist,Government,Australia,PhD,18,0.5,0.6,Yes,69370,"Cybersecurity, Cloud Computing, Leadership, Prompt Engineering, Excel",Medium,0,34,Enterprise,Moderate,2.24,Yes,4.81,Declining
AIJ-100479,Teacher,Energy,USA,PhD,7,0.76,0.47,Yes,124454,"Cybersecurity, Data Visualization, Leadership, Deep Learning",High,28,32,Startup,High,3.88,No,1.39,Declining
AIJ-100480,Machine Learning Engineer,Healthcare,India,Master,11,0.46,0.33,Yes,107491,"Project Management, Machine Learning, AWS, SQL",Low,1,52,Medium,Moderate,4.96,No,4.05,Stable
AIJ-100481,Software Developer,Transportation,Pakistan,Master,11,0.82,0.52,Yes,192446,"Cloud Computing, AWS, SQL, Data Visualization",High,16,46,Medium,Moderate,4.63,Yes,3.48,Growing
AIJ-100482,HR Specialist,Energy,Canada,Bachelor,12,0.82,0.43,No,71472,"Deep Learning, Python, Cybersecurity",High,-5,41,Medium,Moderate,3.93,No,1.44,Declining
AIJ-100483,Teacher,Transportation,Germany,PhD,3,0.41,0.25,No,119764,"TensorFlow, PyTorch, Prompt Engineering",Medium,-8,47,Startup,Moderate,2.44,Yes,2.28,Declining
AIJ-100484,DevOps Engineer,Retail,India,Bachelor,2,0.24,0.22,Yes,209220,"SQL, Excel, PyTorch, Deep Learning, Cloud Computing, Python",Low,7,42,Startup,Moderate,4.62,No,4.49,Growing
AIJ-100485,Machine Learning Engineer,Education,Pakistan,PhD,15,0.86,0.54,No,107831,"Communication, Data Visualization, SQL, AWS",High,34,55,Startup,High,3.31,No,4.29,Growing
AIJ-100486,Data Scientist,Finance,UAE,Bachelor,15,0.94,0.94,No,112972,"Machine Learning, Cybersecurity, Leadership, AWS",Low,40,51,Medium,Moderate,3.56,Yes,4.95,Declining
AIJ-100487,Prompt Engineer,Education,Pakistan,Bachelor,6,0.68,0.81,Hybrid,187533,"Cloud Computing, SQL, Prompt Engineering, Excel, Kubernetes, AWS",High,-10,41,Medium,Low,2.91,No,3.01,Declining
AIJ-100488,Cloud Architect,Finance,UAE,PhD,11,0.43,0.97,Yes,118034,"Azure, PyTorch, Docker, Data Visualization, Kubernetes, Communication",High,28,35,Enterprise,Moderate,3.14,No,3.54,Growing
AIJ-100489,Cloud Architect,Transportation,Japan,High School,20,0.63,0.69,No,137814,"Machine Learning, Cloud Computing, Kubernetes",High,27,55,Startup,High,2.87,No,1.85,Stable
AIJ-100490,Prompt Engineer,Technology,Pakistan,Bachelor,16,0.87,0.53,No,199046,"Cloud Computing, Prompt Engineering, AWS, SQL, Data Visualization, TensorFlow",Medium,32,38,Medium,Moderate,4.02,Yes,4.6,Stable
AIJ-100491,Teacher,Manufacturing,Pakistan,Bachelor,18,0.76,0.86,No,166043,"Python, Kubernetes, Cybersecurity",Low,25,42,Startup,High,3.93,Yes,4.21,Growing
AIJ-100492,Software Developer,Media,Canada,PhD,24,0.19,0.38,Hybrid,216128,"Cybersecurity, TensorFlow, Data Visualization, Prompt Engineering, AWS, Communication",Medium,43,47,Startup,Moderate,2.61,Yes,1.1,Declining
AIJ-100493,Financial Analyst,Finance,Germany,Bachelor,9,0.72,0.3,Yes,148936,"Python, Machine Learning, TensorFlow, Kubernetes",High,43,37,Enterprise,Moderate,4.31,Yes,2.1,Declining
AIJ-100494,Robotics Engineer,Retail,UK,High School,2,0.88,0.3,No,67181,"Cloud Computing, Kubernetes, Azure",Medium,43,36,Medium,Low,3.47,Yes,2.65,Stable
AIJ-100495,Machine Learning Engineer,Finance,India,High School,5,0.85,0.7,Hybrid,148195,"Prompt Engineering, PyTorch, TensorFlow",High,30,49,Startup,Low,4.93,No,2.94,Growing
AIJ-100496,Data Engineer,Technology,Singapore,Bachelor,6,0.88,0.35,No,37747,"Data Visualization, Docker, Communication",Low,3,30,Medium,Low,2.66,Yes,2.07,Stable
AIJ-100497,Prompt Engineer,Education,India,Bachelor,6,0.72,0.59,Hybrid,164389,"Machine Learning, Excel, Project Management, Deep Learning",High,7,60,Medium,Low,3.75,No,1.66,Declining
AIJ-100498,Prompt Engineer,Energy,Germany,Master,11,0.78,0.69,Hybrid,189198,"PyTorch, Azure, Kubernetes, Project Management, Excel, Cybersecurity",Low,18,35,Startup,High,2.76,No,2.17,Growing
AIJ-100499,Digital Marketer,Healthcare,Germany,Master,11,0.34,0.82,Yes,123780,"TensorFlow, Python, Cloud Computing, Machine Learning, Kubernetes",Medium,-3,30,Medium,High,2.03,No,1.86,Growing
AIJ-100500,UX Designer,Government,Canada,PhD,21,0.24,0.37,No,177051,"Deep Learning, Machine Learning, TensorFlow, Cybersecurity, Project Management",Medium,42,40,Startup,Low,2.15,No,2.99,Stable
AIJ-100501,Robotics Engineer,Technology,Japan,High School,14,0.58,0.39,No,35575,"Cloud Computing, Kubernetes, Azure, Machine Learning, Project Management, Data Visualization",Low,43,60,Medium,Low,4.69,Yes,2.35,Declining
AIJ-100502,Prompt Engineer,Healthcare,Singapore,Master,15,0.7,0.42,Hybrid,120655,"AWS, Cloud Computing, PyTorch",Low,15,39,Enterprise,Moderate,3.48,Yes,4.37,Growing
AIJ-100503,DevOps Engineer,Education,UK,High School,6,0.79,0.31,Hybrid,114635,"Python, Deep Learning, SQL",Medium,42,58,Enterprise,Low,4.8,Yes,2.04,Declining
AIJ-100504,UX Designer,Finance,UK,PhD,3,0.29,0.74,Yes,129498,"SQL, Project Management, Machine Learning",Medium,45,34,Enterprise,Moderate,3.91,Yes,3.09,Declining
AIJ-100505,Cybersecurity Analyst,Manufacturing,Singapore,Bachelor,21,0.25,0.41,Hybrid,107656,"AWS, Communication, Leadership, TensorFlow, Excel, Deep Learning",High,44,36,Enterprise,Low,2.23,No,1.24,Declining
AIJ-100506,Product Manager,Media,Pakistan,Master,22,0.14,0.36,No,184802,"Azure, TensorFlow, Prompt Engineering, Deep Learning",High,-1,57,Enterprise,Low,4.74,Yes,4.67,Stable
AIJ-100507,Cloud Architect,Finance,UAE,High School,23,0.43,0.74,Yes,181320,"Docker, Prompt Engineering, TensorFlow, Cloud Computing, SQL, Cybersecurity",Low,-9,58,Medium,Low,2.8,No,3.65,Stable
AIJ-100508,Product Manager,Manufacturing,USA,PhD,8,0.24,0.51,No,142944,"Communication, Cloud Computing, Machine Learning, Data Visualization, Prompt Engineering",Low,-7,50,Medium,High,4.78,Yes,2.18,Stable
AIJ-100509,Digital Marketer,Healthcare,Germany,High School,1,0.44,0.74,Yes,199435,"Communication, Docker, AWS, Kubernetes",High,7,37,Startup,High,2.3,Yes,4.53,Growing
AIJ-100510,Financial Analyst,Retail,Japan,Master,23,0.29,0.36,Yes,83366,"TensorFlow, Kubernetes, Cloud Computing, AWS, Excel, PyTorch",Low,1,46,Enterprise,High,3.43,No,4.41,Growing
AIJ-100511,Data Scientist,Transportation,Australia,Master,0,0.22,0.91,Yes,67180,"Data Visualization, Leadership, Machine Learning, AWS",Medium,-6,35,Enterprise,Low,3.78,No,3.33,Stable
AIJ-100512,Digital Marketer,Media,Singapore,Bachelor,24,0.07,0.74,Yes,106194,"AWS, Cloud Computing, SQL, PyTorch",Low,-4,39,Enterprise,Moderate,3.36,No,4.96,Stable
AIJ-100513,Teacher,Transportation,Canada,Master,21,0.32,0.46,Hybrid,165746,"Communication, Excel, Azure, Python, PyTorch, Data Visualization",High,30,30,Startup,Moderate,4.57,Yes,2.43,Declining
AIJ-100514,Cloud Architect,Retail,Singapore,PhD,16,0.13,0.93,Yes,129032,"PyTorch, Excel, Prompt Engineering, Docker",Medium,33,41,Medium,Moderate,3.77,No,2.24,Declining
AIJ-100515,IoT Specialist,Finance,UAE,Bachelor,16,0.76,0.43,No,32184,"Cloud Computing, PyTorch, Azure, Project Management, TensorFlow",High,25,51,Startup,Moderate,3.46,Yes,4.2,Declining
AIJ-100516,Financial Analyst,Technology,USA,Master,4,0.1,0.44,No,142806,"SQL, Prompt Engineering, Project Management, PyTorch, AWS, Kubernetes",Medium,40,57,Enterprise,High,4.88,Yes,4.81,Growing
AIJ-100517,Digital Marketer,Energy,Australia,PhD,3,0.31,0.23,No,122964,"Cybersecurity, Prompt Engineering, PyTorch, Project Management, SQL",Medium,28,39,Startup,High,3.31,No,4.22,Declining
AIJ-100518,HR Specialist,Transportation,Singapore,Bachelor,12,0.23,0.44,No,107944,"Communication, Cybersecurity, PyTorch, Kubernetes",Low,-2,46,Medium,High,2.94,No,2.87,Stable
AIJ-100519,Teacher,Retail,Germany,Master,4,0.91,0.53,Hybrid,66853,"PyTorch, Kubernetes, Azure, Python, Communication, AWS",High,26,58,Medium,Low,4.27,No,1.5,Growing
AIJ-100520,Cloud Architect,Manufacturing,Japan,High School,9,0.81,0.27,Hybrid,100824,"Azure, Docker, Kubernetes",Medium,34,40,Startup,Low,4.22,Yes,3.81,Growing
AIJ-100521,Robotics Engineer,Retail,USA,PhD,19,0.86,0.71,Hybrid,70573,"Kubernetes, AWS, Cybersecurity, Cloud Computing",Low,-3,32,Startup,Low,3.81,Yes,3.08,Declining
AIJ-100522,Robotics Engineer,Energy,UAE,Bachelor,7,0.51,0.51,Hybrid,61932,"Cloud Computing, AWS, Python, PyTorch",Medium,42,49,Enterprise,Moderate,4.58,Yes,2.73,Growing
AIJ-100523,Business Analyst,Transportation,UAE,Master,9,0.2,0.79,Hybrid,173309,"Data Visualization, Cybersecurity, Deep Learning",Low,27,45,Medium,High,2.83,No,3.79,Declining
AIJ-100524,Robotics Engineer,Technology,Japan,PhD,1,0.16,0.51,No,182184,"PyTorch, Kubernetes, Cybersecurity, Python, AWS, Deep Learning",Low,19,58,Enterprise,Moderate,2.83,Yes,2.43,Growing
AIJ-100525,HR Specialist,Manufacturing,UAE,Bachelor,8,0.11,0.72,Hybrid,122239,"Excel, Docker, TensorFlow, Communication",Medium,15,32,Enterprise,Moderate,3.13,No,3.42,Declining
AIJ-100526,Machine Learning Engineer,Education,Canada,High School,15,0.8,0.25,Hybrid,37738,"Cybersecurity, Leadership, Excel, Project Management, Azure",Medium,10,54,Startup,High,4.39,Yes,4.6,Declining
AIJ-100527,Financial Analyst,Government,USA,Bachelor,10,0.08,0.79,Yes,145744,"PyTorch, Machine Learning, SQL, Project Management, Cybersecurity, AWS",High,18,42,Startup,High,3.72,Yes,1.78,Stable
AIJ-100528,Cybersecurity Analyst,Government,USA,High School,6,0.78,0.84,Yes,80409,"Project Management, Deep Learning, Prompt Engineering, Excel, Machine Learning, AWS",Low,-10,41,Medium,High,3.64,Yes,2.36,Growing
AIJ-100529,Cybersecurity Analyst,Transportation,Australia,PhD,2,0.61,0.64,Hybrid,66142,"Prompt Engineering, Kubernetes, AWS, Communication, Data Visualization, PyTorch",Low,-2,55,Enterprise,Moderate,2.3,No,1.92,Growing
AIJ-100530,Machine Learning Engineer,Retail,Canada,Bachelor,16,0.28,0.76,Hybrid,47813,"Python, Deep Learning, Project Management, Azure, PyTorch",High,9,42,Enterprise,Low,3.64,Yes,3.33,Stable
AIJ-100531,Software Developer,Education,Singapore,Master,24,0.28,0.46,Hybrid,45569,"SQL, Leadership, PyTorch",Low,5,45,Startup,High,4.71,Yes,2.38,Declining
AIJ-100532,Financial Analyst,Energy,UAE,Master,25,0.14,0.59,Yes,89046,"Machine Learning, AWS, Cybersecurity, Docker, Excel, Python",Low,-7,30,Startup,High,3.82,No,3.73,Growing
AIJ-100533,DevOps Engineer,Energy,Singapore,Bachelor,3,0.4,0.5,No,62830,"Kubernetes, AWS, SQL",Low,29,58,Medium,Moderate,2.58,No,4.67,Declining
AIJ-100534,HR Specialist,Technology,USA,Bachelor,1,0.72,0.9,Yes,170566,"Machine Learning, Python, Deep Learning, Prompt Engineering",Low,-2,44,Startup,Moderate,2.13,No,3.41,Declining
AIJ-100535,Business Analyst,Transportation,Pakistan,Bachelor,14,0.64,0.26,Hybrid,172513,"Cybersecurity, TensorFlow, AWS, Leadership, SQL",Medium,13,54,Enterprise,Moderate,4.61,Yes,3.11,Stable
AIJ-100536,IoT Specialist,Retail,Canada,Bachelor,4,0.86,0.76,Hybrid,193019,"Kubernetes, Docker, Cloud Computing, Python, Data Visualization",Low,9,53,Enterprise,Low,2.37,Yes,1.14,Declining
AIJ-100537,Cybersecurity Analyst,Technology,India,PhD,15,0.29,0.66,Yes,108751,"Azure, Cloud Computing, Python, Deep Learning, PyTorch, AWS",Medium,14,44,Startup,Low,2.62,Yes,3.64,Growing
AIJ-100538,UX Designer,Government,Germany,High School,10,0.89,0.92,Hybrid,118137,"Project Management, SQL, Excel",High,17,57,Medium,High,4.79,Yes,4.23,Growing
AIJ-100539,Blockchain Developer,Education,UK,High School,8,0.74,0.41,Hybrid,129953,"Project Management, Azure, PyTorch, Kubernetes, Excel, Docker",Medium,-5,37,Enterprise,Moderate,3.01,No,1.15,Stable
AIJ-100540,Machine Learning Engineer,Transportation,UAE,High School,14,0.56,0.45,Yes,99341,"Communication, Kubernetes, Python, SQL, Cybersecurity",Medium,-8,60,Medium,Moderate,3.91,Yes,2.63,Growing
AIJ-100541,UX Designer,Transportation,UK,Bachelor,20,0.45,0.4,Yes,102389,"Communication, Leadership, Machine Learning",Low,45,49,Enterprise,Low,2.7,Yes,1.74,Growing
AIJ-100542,Data Engineer,Technology,Japan,Bachelor,11,0.93,0.21,Yes,122624,"Leadership, SQL, Deep Learning, Python, Excel, Cybersecurity",Low,22,44,Startup,High,2.23,Yes,2.3,Stable
AIJ-100543,Financial Analyst,Transportation,India,High School,5,0.6,0.48,No,136990,"Machine Learning, PyTorch, Project Management, Kubernetes, Python, Data Visualization",Low,8,59,Startup,High,2.08,Yes,4.23,Growing
AIJ-100544,Cybersecurity Analyst,Healthcare,Germany,PhD,17,0.19,0.8,Hybrid,200187,"Prompt Engineering, TensorFlow, SQL, Leadership, Excel",Low,44,58,Enterprise,Low,3.82,No,2.27,Declining
AIJ-100545,Cloud Architect,Education,UAE,PhD,11,0.93,0.38,Yes,112527,"Deep Learning, Leadership, Kubernetes, TensorFlow, Azure",Medium,25,46,Startup,Moderate,3.96,Yes,2.8,Stable
AIJ-100546,Robotics Engineer,Manufacturing,Pakistan,High School,2,0.58,0.31,No,98230,"Cybersecurity, Deep Learning, PyTorch, Leadership",Medium,22,34,Enterprise,Moderate,3.9,Yes,4.6,Stable
AIJ-100547,Cloud Architect,Finance,USA,PhD,0,0.29,0.64,Hybrid,153171,"Data Visualization, Cloud Computing, PyTorch",Low,-6,34,Enterprise,High,4.76,No,2.42,Stable
AIJ-100548,Teacher,Healthcare,USA,High School,23,0.79,0.47,No,189582,"Project Management, Cloud Computing, Leadership, Azure",Medium,16,50,Medium,High,4.5,No,4.03,Growing
AIJ-100549,Blockchain Developer,Energy,Pakistan,PhD,5,0.86,0.67,Hybrid,126960,"Data Visualization, Docker, Machine Learning, AWS",High,27,38,Startup,Low,2.89,No,1.19,Growing
AIJ-100550,DevOps Engineer,Media,India,Master,3,0.91,0.23,No,85228,"Project Management, Leadership, TensorFlow, Data Visualization, AWS, Machine Learning",Medium,0,33,Medium,Moderate,3.46,Yes,4.54,Stable
AIJ-100551,Data Scientist,Government,USA,Bachelor,0,0.24,0.86,No,74263,"Cloud Computing, Deep Learning, Communication, Machine Learning, SQL",Low,13,36,Medium,High,3.28,No,3.08,Stable
AIJ-100552,UX Designer,Healthcare,Pakistan,High School,23,0.49,0.27,Yes,65866,"Cloud Computing, Kubernetes, Azure, AWS, Prompt Engineering",High,-6,40,Startup,High,3.01,No,3.52,Growing
AIJ-100553,Healthcare Analyst,Education,Singapore,High School,20,0.14,0.76,Hybrid,166654,"Leadership, SQL, PyTorch",Low,5,34,Enterprise,Moderate,4.62,Yes,3.69,Stable
AIJ-100554,Product Manager,Education,USA,PhD,2,0.17,0.7,No,53255,"Cybersecurity, AWS, Data Visualization, Excel, Deep Learning, Kubernetes",High,29,36,Enterprise,Low,2.12,No,3.45,Growing
AIJ-100555,IoT Specialist,Transportation,Australia,Master,17,0.32,0.38,No,106576,"Excel, AWS, Data Visualization, Azure",Medium,-4,37,Startup,Moderate,3.26,No,2.3,Growing
AIJ-100556,IoT Specialist,Transportation,Japan,PhD,21,0.36,0.51,Yes,63569,"Cloud Computing, Data Visualization, Azure, Docker, Leadership, SQL",Low,8,38,Enterprise,Low,4.67,No,1.24,Stable
AIJ-100557,UX Designer,Transportation,Germany,Master,20,0.43,0.41,Yes,44321,"Leadership, PyTorch, TensorFlow, AWS, Deep Learning",Medium,18,43,Startup,High,4.63,Yes,4.12,Declining
AIJ-100558,Data Engineer,Healthcare,USA,Bachelor,11,0.13,0.76,Hybrid,122458,"Cybersecurity, Python, Docker, TensorFlow, Prompt Engineering",Low,0,56,Enterprise,Moderate,4.58,Yes,2.16,Declining
AIJ-100559,Product Manager,Healthcare,Singapore,PhD,25,0.27,0.21,No,35250,"Leadership, PyTorch, Prompt Engineering, Communication, Excel",Low,0,39,Medium,Low,2.69,Yes,1.14,Growing
AIJ-100560,Cybersecurity Analyst,Healthcare,Singapore,PhD,0,0.79,0.89,Yes,52260,"TensorFlow, Kubernetes, Cybersecurity",High,43,47,Enterprise,Low,2.29,No,1.78,Growing
AIJ-100561,HR Specialist,Transportation,Australia,Master,13,0.46,0.28,Yes,201979,"Leadership, PyTorch, Python, Cybersecurity, Azure",Low,16,47,Medium,Moderate,2.85,Yes,2.53,Stable
AIJ-100562,IoT Specialist,Government,Canada,Master,10,0.41,0.38,Yes,126946,"Excel, Cloud Computing, Azure, Docker, Project Management, Python",High,-5,33,Enterprise,Low,2.62,No,3.37,Declining
AIJ-100563,Healthcare Analyst,Finance,USA,Master,22,0.74,0.4,Hybrid,111646,"TensorFlow, AWS, Deep Learning, Python",High,16,57,Startup,Moderate,4.07,No,3.18,Stable
AIJ-100564,Cloud Architect,Energy,Canada,PhD,4,0.55,0.78,Yes,51347,"Leadership, Azure, AWS, Communication",Low,23,53,Startup,Low,2.59,Yes,1.16,Stable
AIJ-100565,DevOps Engineer,Retail,India,Master,19,0.43,0.21,No,60823,"Data Visualization, Docker, AWS, Machine Learning, Excel, Communication",High,31,35,Startup,Moderate,3.57,Yes,4.21,Growing
AIJ-100566,Software Developer,Finance,Singapore,PhD,0,0.89,0.93,No,218777,"Docker, Communication, AWS, Deep Learning, Cloud Computing",Medium,1,34,Medium,Low,4.98,Yes,2.25,Declining
AIJ-100567,Cybersecurity Analyst,Manufacturing,Singapore,Bachelor,11,0.1,0.57,Hybrid,71013,"Cloud Computing, Azure, Leadership, SQL",Low,2,38,Medium,Moderate,3.75,No,2.47,Stable
AIJ-100568,UX Designer,Government,Canada,Bachelor,25,0.14,0.37,Hybrid,76746,"Kubernetes, Prompt Engineering, Machine Learning, Project Management, AWS",High,31,54,Medium,Moderate,3.73,No,4.87,Growing
AIJ-100569,Software Developer,Finance,UAE,High School,10,0.13,0.83,Yes,68401,"Prompt Engineering, Data Visualization, Python, TensorFlow, Cloud Computing, PyTorch",Low,-2,46,Medium,Moderate,3.99,No,2.21,Declining
AIJ-100570,Product Manager,Manufacturing,Singapore,High School,19,0.4,0.57,Yes,111726,"Kubernetes, TensorFlow, Docker, AWS",Low,30,56,Medium,High,2.43,No,3.24,Stable
AIJ-100571,Financial Analyst,Energy,Germany,Bachelor,12,0.83,0.88,No,205646,"Cloud Computing, PyTorch, Excel, Machine Learning, Python",Low,37,30,Startup,Moderate,3.08,Yes,1.02,Stable
AIJ-100572,IoT Specialist,Energy,USA,Master,8,0.6,0.23,Hybrid,102076,"Cloud Computing, Excel, Communication, AWS, Python",Low,26,56,Startup,High,4.78,No,2.96,Stable
AIJ-100573,Machine Learning Engineer,Finance,Canada,PhD,3,0.6,0.76,Yes,214979,"SQL, Excel, Python",Medium,30,52,Startup,Moderate,2.29,No,4.93,Declining
AIJ-100574,Product Manager,Technology,Australia,PhD,21,0.87,0.66,Hybrid,126011,"Leadership, Kubernetes, Data Visualization",Low,-6,36,Enterprise,Low,4.19,Yes,1.69,Declining
AIJ-100575,Robotics Engineer,Retail,Singapore,Master,3,0.72,0.86,No,30845,"Prompt Engineering, Docker, PyTorch, Machine Learning, Leadership",Medium,26,56,Enterprise,Low,3.7,No,1.35,Declining
AIJ-100576,Data Scientist,Education,Pakistan,PhD,2,0.61,0.22,Hybrid,74390,"Machine Learning, Data Visualization, Leadership, Project Management",Low,9,56,Enterprise,High,4.83,Yes,3.99,Growing
AIJ-100577,Healthcare Analyst,Energy,Germany,Bachelor,8,0.31,0.42,Yes,178121,"Project Management, SQL, TensorFlow, Excel",Low,8,38,Enterprise,Moderate,2.79,No,2.42,Stable
AIJ-100578,Business Analyst,Energy,Pakistan,Master,6,0.58,0.32,No,179084,"Docker, Azure, Data Visualization, Python, PyTorch",High,22,47,Enterprise,Moderate,2.27,Yes,2.03,Stable
AIJ-100579,Prompt Engineer,Government,USA,Master,22,0.47,0.46,Yes,177788,"SQL, Cloud Computing, Data Visualization, Deep Learning, Machine Learning",High,12,57,Startup,Low,3.26,No,2.35,Declining
AIJ-100580,Teacher,Transportation,Japan,PhD,23,0.54,0.79,No,145083,"Excel, Project Management, Data Visualization, Deep Learning",Medium,43,37,Medium,High,3.12,No,2.93,Stable
AIJ-100581,HR Specialist,Technology,UK,Bachelor,9,0.75,0.95,Hybrid,135054,"SQL, Deep Learning, Cloud Computing, Prompt Engineering, Azure",High,23,36,Enterprise,Low,2.39,No,4.15,Declining
AIJ-100582,Software Developer,Education,UK,Master,9,0.46,0.33,Yes,30221,"Project Management, Cybersecurity, Excel",Low,5,57,Startup,Moderate,2.27,Yes,1.62,Growing
AIJ-100583,Business Analyst,Transportation,Australia,PhD,22,0.47,0.74,Yes,213180,"Python, AWS, Data Visualization, Docker, SQL",Low,14,34,Medium,Low,3.2,No,4.59,Growing
AIJ-100584,Machine Learning Engineer,Education,Pakistan,Master,10,0.92,0.22,Hybrid,189520,"TensorFlow, Machine Learning, Excel, Deep Learning, Leadership, AWS",Low,29,49,Medium,Low,3.94,Yes,3.0,Declining
AIJ-100585,Robotics Engineer,Retail,Australia,PhD,1,0.4,0.34,No,69517,"Project Management, PyTorch, Machine Learning, Data Visualization",Medium,1,35,Medium,High,3.55,Yes,2.86,Declining
AIJ-100586,Blockchain Developer,Technology,UAE,PhD,13,0.17,0.6,Yes,209909,"Cloud Computing, TensorFlow, Python, Machine Learning, Data Visualization",Medium,17,38,Enterprise,High,2.35,No,3.01,Stable
AIJ-100587,Cybersecurity Analyst,Finance,USA,Master,22,0.93,0.62,Hybrid,130524,"Kubernetes, Excel, Cloud Computing, TensorFlow, Machine Learning",Medium,2,46,Enterprise,High,4.62,No,1.19,Stable
AIJ-100588,Financial Analyst,Retail,Australia,Master,21,0.38,0.9,No,209932,"Cloud Computing, AWS, Azure",Low,24,38,Startup,Moderate,3.07,Yes,2.79,Stable
AIJ-100589,Cybersecurity Analyst,Media,Canada,Bachelor,23,0.53,0.51,Yes,75936,"Cloud Computing, Excel, SQL",High,21,43,Medium,Moderate,4.92,Yes,4.68,Growing
AIJ-100590,Prompt Engineer,Media,Canada,Master,20,0.6,0.77,Hybrid,56508,"SQL, Machine Learning, Leadership, Data Visualization, Python, Docker",Medium,17,42,Startup,Low,4.85,No,3.89,Growing
AIJ-100591,Product Manager,Media,Germany,High School,11,0.56,0.99,Hybrid,191370,"PyTorch, Cloud Computing, Prompt Engineering",Medium,3,54,Medium,Moderate,4.24,Yes,2.11,Growing
AIJ-100592,DevOps Engineer,Finance,India,Master,14,0.3,0.52,Hybrid,34907,"TensorFlow, Data Visualization, Project Management",High,10,33,Startup,Low,2.05,No,1.88,Growing
AIJ-100593,Healthcare Analyst,Manufacturing,Pakistan,PhD,4,0.48,0.64,No,119902,"Azure, PyTorch, Leadership, Communication, Prompt Engineering",High,21,36,Enterprise,High,2.51,No,2.02,Declining
